Metrics on slices

Category name: workclass
value, precision, recall, fbeta

 Private,0.6066350710900474,0.6438631790744467,0.6246949731576379

 Self-emp-not-inc,0.4502923976608187,0.5877862595419847,0.509933774834437

 Federal-gov,0.6756756756756757,0.5813953488372093,0.6250000000000001

 ?,0.5833333333333334,0.5121951219512195,0.5454545454545454

 Self-emp-inc,0.7964601769911505,0.7627118644067796,0.7792207792207791

 Local-gov,0.6542056074766355,0.6140350877192983,0.6334841628959277

 State-gov,0.6813186813186813,0.6888888888888889,0.6850828729281768

 Without-pay,1.0,1.0,1.0

Category name: education
value, precision, recall, fbeta

 Some-college,0.5377049180327869,0.5674740484429066,0.5521885521885522

 HS-grad,0.4221556886227545,0.4812286689419795,0.44976076555023925

 12th,0.3,0.42857142857142855,0.3529411764705882

 Bachelors,0.6938775510204082,0.6876404494382022,0.690744920993228

 Assoc-acdm,0.6511627906976745,0.5490196078431373,0.5957446808510639

 10th,0.3076923076923077,0.25,0.27586206896551724

 7th-8th,0.4,0.5,0.4444444444444445

 Masters,0.7889447236180904,0.8263157894736842,0.8071979434447301

 Doctorate,0.9014084507042254,0.7804878048780488,0.8366013071895425

 Prof-school,0.8333333333333334,0.8653846153846154,0.8490566037735849

 Assoc-voc,0.4942528735632184,0.589041095890411,0.5375

 11th,0.38461538461538464,0.625,0.4761904761904762

 1st-4th,0.0,0.0,0.0

 9th,0.125,0.25,0.16666666666666666

 Preschool,1.0,1.0,1.0

 5th-6th,0.0,0.0,0.0

Category name: marital-status
value, precision, recall, fbeta

 Never-married,0.44,0.48672566371681414,0.4621848739495798

 Married-civ-spouse,0.6429085673146149,0.6699174793698425,0.6561351947097722

 Widowed,0.4666666666666667,0.4117647058823529,0.43749999999999994

 Divorced,0.4659090909090909,0.4659090909090909,0.4659090909090909

 Separated,0.631578947368421,0.7058823529411765,0.6666666666666667

 Married-spouse-absent,0.2222222222222222,0.3333333333333333,0.26666666666666666

 Married-AF-spouse,0.0,1.0,0.0

Category name: occupation
value, precision, recall, fbeta

 Sales,0.6057692307692307,0.6631578947368421,0.6331658291457286

 Priv-house-serv,0.0,1.0,0.0

 Transport-moving,0.4657534246575342,0.5074626865671642,0.4857142857142857

 Other-service,0.225,0.4090909090909091,0.2903225806451613

